,Activation,nLayer,nHiddenNeuron,nIter,Loss,Misclassification
0,logistic,50,80,6,2.3025964988736844,0.9
0,logistic,50,90,6,2.302597896786693,0.9
0,logistic,50,100,6,2.302599311505143,0.9
0,logistic,60,80,6,2.30259872480037,0.9
0,logistic,60,90,6,2.302600411445833,0.9
0,logistic,60,100,5,2.3026021002791626,0.9
0,logistic,70,80,6,2.3026009599926747,0.9
0,logistic,70,90,9,2.302602907455814,0.9
0,logistic,70,100,6,2.3026048611796,0.9
0,relu,50,80,7,2.3026193794592436,0.9
0,relu,50,90,8,2.302623517023708,0.9
0,relu,50,100,7,2.302627740938479,0.9
0,relu,60,80,8,2.302626020772239,0.9
0,relu,60,90,7,2.3026310753403028,0.9
0,relu,60,100,7,2.3026360904598544,0.9
0,relu,70,80,9,2.3026327387628496,0.9
0,relu,70,90,7,2.302638557450433,0.9
0,relu,70,100,7,2.3026444099497536,0.9
0,tanh,50,80,5002,1.5847513581193258,0.638
0,tanh,50,90,5001,0.8935290634813771,0.611
0,tanh,50,100,5001,0.024614485012145297,0.6174999999999999
0,tanh,60,80,5001,1.7632561148456611,0.7395
0,tanh,60,90,5001,1.896288351638856,0.763
0,tanh,60,100,5001,0.6381876628017723,0.6655
0,tanh,70,80,5001,0.13990036179057364,0.6365000000000001
0,tanh,70,90,9,2.3026231629086515,0.902
0,tanh,70,100,5001,1.061501979839092,0.6605
0,identity,50,80,5001,0.5952186904679201,0.5880000000000001
0,identity,50,90,5002,1.1933801805666233,0.5195000000000001
0,identity,50,100,5001,1.2401082171144178,0.512
0,identity,60,80,5001,0.5882796610084529,0.5875
0,identity,60,90,5001,0.5470108028677448,0.569
0,identity,60,100,5001,0.7101884436612785,0.5635
0,identity,70,80,5001,0.7424668512936289,0.581
0,identity,70,90,5001,0.9157401440095451,0.5755
0,identity,70,100,5001,1.2572328227054108,0.523
